YEAR (GSS year for this respondent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WRKSTAT (labor force status),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.n: No answer,,,,,,.d: Do not Know/Cannot Choose,,,,,,.s: Skipped on Web,,,,,,Working full time,,,,,,Working part time,,,,,,"With a job, but not at work because of temporary illness, vacation, strike",,,,,,"Unemployed, laid off, looking for work",,,,,,Retired,,,,,,In school,,,,,,Keeping house,,,,,,Other,,,,,
,SEX (respondents sex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE,.i: Inapplicable,.n: No answer,.d: Do not Know/Cannot Choose,.s: Skipped on Web,MALE,FEMALE
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,191,0,0,0,0,41,73,0,0,0,0,29,12,0,0,0,0,42,8,0,0,0,0,88,32,0,0,0,0,59,28,0,0,0,0,4,407,0,0,0,0,14,14
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,197,0,0,0,0,39,111,0,0,0,0,23,11,0,0,0,0,33,5,0,0,0,0,118,20,0,0,0,0,47,32,0,0,0,0,2,401,0,0,0,0,14,4
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,207,0,0,0,0,34,79,0,0,0,0,29,18,0,0,0,0,37,18,0,0,0,0,129,21,0,0,0,0,34,20,0,0,0,0,5,398,0,0,0,0,7,5
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,234,0,0,0,0,46,110,0,0,0,0,18,7,0,0,0,0,58,10,0,0,0,0,112,33,0,0,0,0,33,25,0,0,0,0,7,372,0,0,0,0,17,2
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,229,0,0,0,0,52,78,0,0,0,0,17,10,0,0,0,0,54,12,0,0,0,0,111,42,0,0,0,0,42,17,0,0,0,0,1,413,0,0,0,0,6,2
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,307,0,0,0,0,39,74,0,0,0,0,19,18,0,0,0,0,35,7,0,0,0,0,101,34,0,0,0,0,32,17,0,0,0,0,3,353,0,0,0,0,13,7
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,260,0,0,0,0,30,118,0,0,0,0,25,16,0,0,0,0,30,7,0,0,0,0,90,45,0,0,0,0,13,27,0,0,0,0,3,374,0,0,0,0,9,21
